Region,Category,Product Name,Quantity,profit margin,profit per unit 
West,Office Supplies,Belkin Premiere Surge Master II 8-outlet surge protector,2,50,11.995
West,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",11,40,6.396
West,Office Supplies,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",6,20,4.798
West,Office Supplies,Tennsco Regal Shelving Units,2,40,9.596
West,Technology,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,1,50,8.995
West,Technology,Jabra SPEAK 410,3,50,11.995
South,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",9,40,4.796
South,Office Supplies,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3,20,3.998
South,Furniture,Office Star - Mesh Screen back chair with Vinyl seat,2,40,9.996
West,Office Supplies,Premium Transparent Presentation Covers by GBC,4,20,7.198
West,Office Supplies,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,5,30,10.497
West,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,6,20,4.798
West,Office Supplies,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9,40,9.996
Central,Furniture,Eldon 200 Class Desk Accessories,2,40,9.596
West,Office Supplies,Economy Rollaway Files,4,50,11.995
West,Office Supplies,Avery 480,2,25,6.4975
Central,Technology,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,4,50,8.495
East,Office Supplies,Xerox 1993,5,25,15.7475
Central,Office Supplies,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",14,20,4.998
West,Office Supplies,Staples,2,30,12.897
West,Office Supplies,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,2,20,1.398
West,Furniture,3M Hangers With Command Adhesive,2,25,6.9975
West,Technology,AT&T TR1909W,2,60,26.994
West,Technology,First Data FD10 PIN Pad,1,40,9.996
East,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",3,40,10.396
East,Office Supplies,Xerox 1943,8,50,11.995
East,Technology,Sony 16GB Class 10 Micro SDHC R40 Memory Card,1,40,9.596
East,Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,1,40,14.396
East,Office Supplies,Avery Durable Poly Binders,2,50,12.495
East,Office Supplies,Airmail Envelopes,5,30,7.497
Central,Furniture,Global Troy Executive Leather Low-Back Tilter,4,60,26.994
Central,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,1,25,4.4975
Central,Office Supplies,"Hot File 7-Pocket, Floor Stand",2,30,3.297
Central,Office Supplies,Space Solutions Commercial Steel Shelving,7,40,9.596
Central,Furniture,Hon Racetrack Conference Tables,2,50,21.495
Central,Office Supplies,"Avery Durable Plastic 1"" Binders",2,40,9.596
East,Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",4,30,5.997
South,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",3,40,9.596
Central,Office Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,3,50,4.495
Central,Office Supplies,Easy-staple paper,2,20,4.798
Central,Technology,ClearOne Communications CHAT 70 OC Speaker Phone,2,20,4.798
East,Furniture,"Master Giant Foot Doorstop, Safety Yellow",5,60,5.394
Central,Furniture,12-1/2 Diameter Round Wall Clock,3,25,5.4975
Central,Furniture,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",10,40,9.996
Central,Office Supplies,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",11,40,6.396
Central,Office Supplies,Newell 331,3,50,12.995
Central,Office Supplies,Kensington 6 Outlet Guardian Standard Surge Protector,2,40,10.396
Central,Office Supplies,"Southworth 100% Résumé Paper, 24lb.",7,40,29.996
Central,Technology,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,3,40,9.596
Central,Office Supplies,Hoover Portapower Portable Vacuum,3,40,9.596
Central,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",3,50,8.495
Central,Furniture,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",6,20,7.198
Central,Office Supplies,Ibico Hi-Tech Manual Binding System,5,30,7.497
East,Office Supplies,Avery Hanging File Binders,7,60,26.994
East,Office Supplies,Fellowes Neat Ideas Storage Cubes,5,50,7.995
East,Office Supplies,Advantus Rolling Storage Box,4,20,1.398
South,Technology,Cubify CubeX 3D Printer Triple Head Print,3,30,8.397
South,Office Supplies,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",4,30,4.497
South,Technology,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,2,50,8.995
South,Office Supplies,Avery 516,7,20,4.798
South,Office Supplies,Xerox 1995,5,20,4.798
East,Furniture,"Bush Andora Bookcase, Maple/Graphite Gray Finish",4,60,26.994
South,Furniture,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,3,60,21.594
South,Technology,Konftel 250 Conference phone - Charcoal black,5,50,8.495
South,Office Supplies,Recycled Eldon Regeneration Jumbo File,4,40,9.596
West,Technology,Imation Bio 8GB USB Flash Drive Imation Corp,4,30,9.297
West,Office Supplies,Xerox 1977,3,60,21.594
East,Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",3,25,5.4975
East,Office Supplies,Avery 490,5,40,9.596
East,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,2,25,5.2475
East,Office Supplies,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",2,40,6.396
East,Office Supplies,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",1,40,6.396
East,Office Supplies,GBC Linen Binding Covers,2,30,13.797
East,Office Supplies,Wilson Jones Custom Binder Spines & Labels,2,30,8.397
East,Furniture,"Eldon 200 Class Desk Accessories, Burgundy",2,30,12.897
West,Furniture,"Tenex ""The Solids"" Textured Chair Mats",4,40,9.996
West,Furniture,Laminate Occasional Tables,3,50,12.995
South,Office Supplies,Xerox 220,4,40,6.396
South,Office Supplies,Fellowes 8 Outlet Superior Workstation Surge Protector,8,25,8.2475
South,Technology,SanDisk Cruzer 32 GB USB Flash Drive,3,25,4.4975
East,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,2,30,7.497
East,Furniture,O'Sullivan Living Dimensions 5-Shelf Bookcases,6,50,8.495
East,Office Supplies,"Angle-D Binders with Locking Rings, Label Holders",6,30,5.997
East,Office Supplies,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",2,30,8.397
South,Office Supplies,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",4,25,2.2475
East,Office Supplies,Bionaire Personal Warm Mist Humidifier/Vaporizer,1,40,10.396
East,Technology,Nortel Meridian M3904 Professional Digital phone,3,40,30.796
East,Technology,Logitech Wireless Performance Mouse MX for PC and Mac,3,40,4.796
West,Office Supplies,Cardinal Holdit Business Card Pockets,6,30,4.497
East,Furniture,"DAX Value U-Channel Document Frames, Easel Back",2,20,4.998
East,Furniture,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",5,20,3.998
West,Office Supplies,GBC Standard Therm-A-Bind Covers,9,60,26.994
West,Furniture,Aluminum Document Frame,4,40,9.996
West,Office Supplies,Tops Green Bar Computer Printout Paper,9,50,6.995
Central,Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4,30,8.697
Central,Office Supplies,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",2,60,21.594
East,Furniture,"Seth Thomas 16"" Steel Case Clock",3,40,9.596
South,Office Supplies,Acme Softgrip Scissors,2,60,19.794
Central,Office Supplies,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",3,25,6.4975
Central,Technology,ClearSounds CSC500 Amplified Spirit Phone Corded phone,7,40,9.596
East,Office Supplies,Xerox 1964,5,25,4.2475
East,Furniture,"Bevis Traditional Conference Table Top, Plinth Base",2,40,10.396
East,Office Supplies,"Personal Folder Holder, Ebony",2,50,11.995
East,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",6,40,9.996
East,Office Supplies,Avery 520,3,30,13.797
West,Office Supplies,Carina Double Wide Media Storage Towers in Natural & Black,2,50,5.995
West,Technology,Logitech Illuminated - Keyboard,2,40,4.796
West,Office Supplies,Wilson Jones Century Plastic Molded Ring Binders,6,40,9.996
West,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,2,50,12.995
West,Furniture,O'Sullivan Cherrywood Estates Traditional Bookcase,7,40,9.996
West,Office Supplies,Acco Translucent Poly Ring Binders,2,25,6.9975
West,Technology,Logitech Wireless Touch Keyboard K400,7,25,6.4975
Central,Office Supplies,Avery 508,11,40,10.396
Central,Office Supplies,SAFCO Boltless Steel Shelving,1,30,10.497
Central,Office Supplies,GBC Standard Plastic Binding Systems Combs,2,40,9.596
Central,Office Supplies,Martin-Yale Premier Letter Opener,2,30,9.297
Central,Office Supplies,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",2,40,30.796
Central,Office Supplies,Xerox 196,2,40,9.996
Central,Office Supplies,"Fiskars 8"" Scissors, 2/Pack",3,40,9.996
West,Furniture,KI Conference Tables,1,50,8.495
West,Office Supplies,Fellowes Officeware Wire Shelving,3,30,7.497
Central,Technology,Belkin iPhone and iPad Lightning Cable,1,40,6.396
Central,Office Supplies,GBC Durable Plastic Covers,3,30,10.497
Central,Furniture,Nu-Dell Leatherette Frames,4,20,4.998
Central,Office Supplies,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",7,25,6.4975
Central,Office Supplies,Avery Durable Binders,4,25,2.2475
West,Technology,Hewlett Packard 610 Color Digital Copier / Printer,7,50,5.995
West,Furniture,12-1/2 Diameter Round Wall Clock,2,20,1.398
South,Furniture,Chromcraft Round Conference Tables,7,50,11.995
Central,Office Supplies,Recycled Eldon Regeneration Jumbo File,7,30,8.697
Central,Technology,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,2,50,11.995
East,Office Supplies,Angle-D Ring Binders,4,50,7.995
Central,Office Supplies,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",7,50,8.495
West,Office Supplies,Xerox 226,3,25,6.9975
South,Office Supplies,Avery 476,2,25,4.4975
East,Technology,JBL Micro Wireless Portable Bluetooth Speaker,5,50,12.995
South,Office Supplies,Staple envelope,3,20,1.398
South,Office Supplies,Brown Kraft Recycled Envelopes,9,40,30.796
South,Technology,Plantronics S12 Corded Telephone Headset System,3,30,8.697
South,Office Supplies,3-ring staple pack,7,40,30.796
South,Office Supplies,Fellowes Stor/Drawer Steel Plus Storage Drawers,2,40,6.396
South,Furniture,Electrix Halogen Magnifier Lamp,5,30,4.497
South,Furniture,Hon 4070 Series Pagoda Round Back Stacking Chairs,3,40,10.396
Central,Office Supplies,Cardinal EasyOpen D-Ring Binders,2,40,14.396
Central,Technology,AT&T 841000 Phone,2,20,7.198
Central,Office Supplies,GBC Instant Report Kit,6,40,9.996
Central,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,1,25,4.4975
Central,Office Supplies,Boston 19500 Mighty Mite Electric Pencil Sharpener,1,25,0.7475
Central,Furniture,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",3,40,4.796
East,Office Supplies,"Dixon My First Ticonderoga Pencil, #2",3,60,5.394
West,Furniture,Hon GuestStacker Chair,1,40,10.396
West,Office Supplies,Xerox 191,4,30,3.297
West,Office Supplies,Xerox 1974,7,60,26.994
West,Office Supplies,Xerox 1927,13,20,4.998
East,Office Supplies,Acco D-Ring Binder w/DublLock,6,25,6.4975
East,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2,40,14.396
East,Furniture,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",3,50,8.495
East,Technology,Microsoft Natural Ergonomic Keyboard 4000,2,20,4.998
South,Office Supplies,Cameo Buff Policy Envelopes,4,40,10.396
West,Office Supplies,Heavy-Duty E-Z-D Binders,3,30,8.397
West,Furniture,"Lifetime Advantage Folding Chairs, 4/Carton",3,40,10.396
South,Office Supplies,GBC VeloBinder Manual Binding System,2,40,10.396
South,Office Supplies,"Decoflex Hanging Personal Folder File, Blue",6,25,5.2475
South,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",3,50,6.995
South,Furniture,Office Star - Contemporary Task Swivel Chair,1,50,8.495
South,Technology,Cisco Unified IP Phone 7945G VoIP phone,4,30,8.397
West,Office Supplies,Avery 499,4,60,26.994
West,Office Supplies,"Wirebound Message Book, 4 per Page",1,40,6.396
Central,Office Supplies,Avery Durable Binders,3,20,7.198
East,Office Supplies,Xerox 1887,5,60,21.594
East,Office Supplies,Xerox 1967,2,30,3.297
East,Office Supplies,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,7,60,19.794
West,Furniture,"Situations Contoured Folding Chairs, 4/Set",3,40,9.996
West,Furniture,"Executive Impressions 14"" Contract Wall Clock",2,60,26.994
West,Technology,Logitech Mobile Speakerphone P710e - speaker phone,6,30,8.697
East,Office Supplies,Belkin 7 Outlet SurgeMaster II,3,50,11.995
South,Office Supplies,Xerox 218,3,30,4.497
West,Furniture,"Eldon Stackable Tray, Side-Load, Legal, Smoke",7,40,14.396
West,Office Supplies,Model L Table or Wall-Mount Pencil Sharpener,1,30,8.397
West,Technology,ClearOne CHATAttach 160 - speaker phone,3,40,29.996
Central,Furniture,Coloredge Poster Frame,3,50,4.495
Central,Technology,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,3,40,6.396
West,Office Supplies,Newell 32,3,30,3.297
West,Furniture,"Bevis Round Bullnose 29"" High Table Top",3,40,9.996
West,Office Supplies,Belkin F9G930V10-GRY 9 Outlet Surge,1,20,4.798
West,Technology,Sony 16GB Class 10 Micro SDHC R40 Memory Card,4,60,21.594
West,Furniture,"Eldon Stackable Tray, Side-Load, Legal, Smoke",2,50,11.995
West,Technology,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,2,25,5.2475
Central,Office Supplies,Xerox 205,2,60,19.794
East,Office Supplies,Xerox 1968,4,40,9.996
East,Office Supplies,Xerox 1995,7,40,9.996
East,Office Supplies,Self-Adhesive Ring Binder Labels,4,50,20.495
East,Furniture,Global Leather Executive Chair,2,40,9.596
East,Office Supplies,GBC Recycled Grain Textured Covers,2,30,3.297
East,Office Supplies,Xerox 1941,2,25,15.7475
East,Technology,Razer Kraken PRO Over Ear PC and Music Headset,3,25,4.4975
East,Office Supplies,Avery 508,1,50,8.495
West,Technology,Kingston Digital DataTraveler 32GB USB 2.0,3,40,9.996
West,Technology,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,3,30,12.897
Central,Office Supplies,Advantus Plastic Paper Clips,2,25,5.4975
Central,Office Supplies,Acme Forged Steel Scissors with Black Enamel Handles,4,30,10.497
Central,Office Supplies,Security-Tint Envelopes,3,40,4.796
South,Furniture,"Global Airflow Leather Mesh Back Chair, Black",5,20,9.998
South,Office Supplies,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",4,60,26.994
South,Technology,Pyle PMP37LED,2,40,9.996
South,Technology,Clarity 53712,1,60,26.994
South,Office Supplies,Boston 16801 Nautilus Battery Pencil Sharpener,2,20,4.798
South,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",4,20,7.198
South,Technology,Zebra GX420t Direct Thermal/Thermal Transfer Printer,1,50,8.495
Central,Office Supplies,GBC ProClick Punch Binding System,3,30,4.497
South,Office Supplies,"Adams Telephone Message Books, 5 1/4” x 11”",2,40,4.796
Central,Technology,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,5,30,8.697
East,Office Supplies,Boston 19500 Mighty Mite Electric Pencil Sharpener,2,25,6.4975
East,Office Supplies,Newell 335,4,60,5.394
East,Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,4,25,6.9975
West,Office Supplies,Fellowes Binding Cases,9,40,9.596
West,Office Supplies,Ibico Plastic and Wire Spiral Binding Combs,3,50,12.995
West,Office Supplies,Acme Preferred Stainless Steel Scissors,3,40,6.396
West,Office Supplies,Avery 486,2,60,26.994
South,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,2,20,1.398
South,Furniture,Global Deluxe Office Fabric Chairs,3,20,4.998
East,Furniture,"Linden 10"" Round Wall Clock, Black",3,25,6.4975
East,Technology,Maxell DVD-RAM Discs,2,50,12.995
West,Office Supplies,DIXON Oriole Pencils,2,30,7.497
West,Office Supplies,Xerox 202,2,40,6.396
South,Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",3,20,4.798
East,Furniture,"Executive Impressions 14"" Contract Wall Clock",9,20,7.198
East,Office Supplies,Carina Double Wide Media Storage Towers in Natural & Black,3,25,6.4975
East,Office Supplies,Xerox 1884,4,40,9.996
East,Office Supplies,Acme Box Cutter Scissors,2,40,6.396
East,Office Supplies,Staple magnet,7,50,8.995
East,Office Supplies,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",1,40,9.596
East,Office Supplies,OIC Binder Clips,3,25,0.7475
West,Office Supplies,Staple remover,7,50,4.495
West,Office Supplies,Deluxe Chalkboard Eraser Cleaner,2,60,5.394
South,Technology,Logitech MX Performance Wireless Mouse,5,40,6.396
South,Office Supplies,Newell 337,5,60,5.394
South,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural",5,30,8.697
South,Office Supplies,Avery 482,1,30,5.997
South,Furniture,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",3,25,6.4975
East,Office Supplies,Avery 483,3,20,7.198
East,Office Supplies,Large Capacity Hanging Post Binders,2,30,5.997
East,Office Supplies,GBC Ibimaster 500 Manual ProClick Binding System,8,50,8.495
East,Technology,Cisco SPA301,3,25,6.9975
East,Office Supplies,Southworth 100% Cotton The Best Paper,3,40,4.796
East,Office Supplies,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",3,50,7.995
East,Office Supplies,Poly Designer Cover & Back,2,50,6.995
South,Office Supplies,Xerox 1910,3,20,4.998
East,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",3,20,3.998
East,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,2,30,8.697
East,Technology,Logitech G19 Programmable Gaming Keyboard,3,20,9.998
East,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",3,40,9.996
East,Office Supplies,Lock-Up Easel 'Spel-Binder',4,50,8.995
East,Furniture,SAFCO Arco Folding Chair,7,25,5.4975
South,Office Supplies,"Decoflex Hanging Personal Folder File, Blue",1,40,9.596
West,Office Supplies,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",3,25,6.4975
Central,Furniture,Eldon 200 Class Desk Accessories,6,40,30.796
East,Furniture,Dax Clear Box Frame,2,40,9.596
West,Office Supplies,Fellowes Black Plastic Comb Bindings,5,25,4.2475
West,Office Supplies,Eldon Shelf Savers Cubes and Bins,1,30,8.697
East,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",2,30,7.497
West,Office Supplies,Xerox 1987,3,50,12.995
East,Technology,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,4,20,7.198
East,Office Supplies,Acco D-Ring Binder w/DublLock,8,50,11.995
Central,Office Supplies,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",3,60,19.794
Central,Office Supplies,Fluorescent Highlighters by Dixon,3,30,8.397
Central,Technology,Nortel Networks T7316 E Nt8 B27,1,40,9.996
West,Office Supplies,File Shuttle I and Handi-File,1,40,9.996
West,Office Supplies,Binding Machine Supplies,2,40,9.596
Central,Office Supplies,Staple envelope,9,50,11.995
Central,Office Supplies,Alphabetical Labels for Top Tab Filing,2,40,9.596
East,Office Supplies,Things To Do Today Pad,1,50,12.995
East,Office Supplies,Wilson Jones Hanging Recycled Pressboard Data Binders,4,40,10.396
Central,Office Supplies,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,3,30,10.497
Central,Office Supplies,Deluxe Heavy-Duty Vinyl Round Ring Binder,2,50,8.495
Central,Technology,Avaya 5420 Digital phone,1,40,9.996
West,Office Supplies,Xerox 1923,9,20,3.998
West,Office Supplies,Fellowes Neat Ideas Storage Cubes,3,60,21.594
West,Office Supplies,Xerox 1931,2,60,19.794
East,Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",5,40,14.396
East,Technology,Gear Head AU3700S Headset,5,30,3.297
East,Office Supplies,Wilson Jones Legal Size Ring Binders,2,40,9.996
Central,Technology,Polycom CX600 IP Phone VoIP phone,3,50,6.995
Central,Technology,Maxell iVDR EX 500GB Cartridge,3,60,19.794
Central,Office Supplies,Fellowes High-Stak Drawer Files,4,50,11.995
East,Furniture,3M Hangers With Command Adhesive,2,50,8.495
Central,Furniture,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",5,20,7.198
Central,Technology,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,3,50,21.495
Central,Furniture,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",3,40,4.796
Central,Furniture,Global Commerce Series High-Back Swivel/Tilt Chairs,2,50,20.495
Central,Office Supplies,Avery Premier Heavy-Duty Binder with Round Locking Rings,4,25,6.4975
Central,Office Supplies,Cameo Buff Policy Envelopes,9,30,8.697
Central,Office Supplies,Acco Perma 4000 Stacking Storage Drawers,3,50,12.995
South,Office Supplies,Recycled Eldon Regeneration Jumbo File,2,40,9.596
East,Technology,Maxell 4.7GB DVD-R,8,25,15.7475
East,Technology,OtterBox Commuter Series Case - iPhone 5 & 5s,2,60,26.994
East,Office Supplies,Kensington 4 Outlet MasterPiece Compact Power Control Center,3,50,11.995
East,Office Supplies,GBC DocuBind 300 Electric Binding Machine,3,25,6.9975
East,Office Supplies,Xerox 1985,5,50,8.495
East,Technology,Hypercom P1300 Pinpad,6,50,12.995
South,Office Supplies,Newell 324,2,50,8.495
South,Office Supplies,Holmes Odor Grabber,7,40,30.796
East,Office Supplies,Zebra Zazzle Fluorescent Highlighters,2,50,12.995
East,Office Supplies,"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",3,60,26.994
East,Office Supplies,Xerox 196,1,40,6.396
East,Office Supplies,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",4,40,6.396
East,Office Supplies,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",2,50,8.495
East,Office Supplies,JM Magazine Binder,2,30,12.897
East,Office Supplies,Xerox 202,6,40,9.596
East,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,5,40,9.996
West,Technology,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,3,25,5.2475
West,Office Supplies,Xerox 213,2,40,10.396
West,Office Supplies,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,2,30,7.497
West,Office Supplies,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",4,25,5.2475
West,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",2,50,21.495
West,Furniture,Bretford CR4500 Series Slim Rectangular Table,2,50,12.995
West,Office Supplies,Xerox 1894,2,40,9.996
West,Office Supplies,Standard Rollaway File with Lock,2,25,6.9975
West,Office Supplies,"Avery Trapezoid Extra Heavy Duty 4"" Binders",2,40,9.596
West,Furniture,Bevis Boat-Shaped Conference Table,3,40,9.996
East,Furniture,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",6,20,4.798
East,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,5,50,21.495
East,Furniture,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",8,50,8.495
East,Office Supplies,Xerox 210,5,30,13.797
East,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),4,20,4.998
East,Furniture,Staple-based wall hangings,2,40,9.596
Central,Office Supplies,Stanley Bostitch Contemporary Electric Pencil Sharpeners,5,60,5.394
Central,Furniture,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1,30,7.497
South,Office Supplies,Home/Office Personal File Carts,2,30,8.397
West,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural",5,40,9.596
West,Office Supplies,Avery Durable Slant Ring Binders,5,40,9.996
West,Office Supplies,"Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream",4,50,5.995
West,Furniture,Luxo Professional Combination Clamp-On Lamps,5,40,10.396
West,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",1,50,11.995
South,Office Supplies,Zipper Ring Binder Pockets,1,30,4.497
West,Office Supplies,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",3,40,9.596
South,Office Supplies,Avery File Folder Labels,2,20,1.398
East,Office Supplies,Color-Coded Legal Exhibit Labels,3,50,4.495
East,Office Supplies,Bulldog Vacuum Base Pencil Sharpener,1,60,19.794
East,Office Supplies,Xerox 212,5,40,9.996
East,Office Supplies,Computer Printout Paper with Letter-Trim Fine Perforations,2,40,9.596
East,Office Supplies,Avery File Folder Labels,8,30,4.497
East,Office Supplies,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3,20,7.198
East,Furniture,DAX Black Cherry Wood-Tone Poster Frame,3,50,11.995
East,Technology,AT&T 841000 Phone,1,20,9.998
East,Office Supplies,GBC Linen Binding Covers,3,20,4.998
East,Office Supplies,Round Specialty Laser Printer Labels,8,50,8.495
East,Technology,Motorola HK250 Universal Bluetooth Headset,3,50,12.995
East,Office Supplies,Tuf-Vin Binders,1,50,12.995
West,Office Supplies,Wilson Jones Easy Flow II Sheet Lifters,2,25,6.4975
Central,Technology,Lexmark MX611dhe Monochrome Laser Printer,5,50,7.995
South,Office Supplies,Angle-D Ring Binders,3,30,8.397
Central,Office Supplies,Xerox 188,1,40,9.596
East,Furniture,Office Star - Contemporary Task Swivel Chair,2,50,8.995
West,Office Supplies,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",9,25,15.7475
West,Technology,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),4,40,6.396
West,Furniture,"Global Airflow Leather Mesh Back Chair, Black",5,25,0.7475
Central,Office Supplies,Avery 499,3,40,9.596
Central,Office Supplies,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",2,25,5.4975
Central,Technology,Wasp CCD Handheld Bar Code Reader,3,40,14.396
Central,Office Supplies,Acco Suede Grain Vinyl Round Ring Binder,2,40,30.796
East,Furniture,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,6,25,4.4975
East,Office Supplies,Bulldog Table or Wall-Mount Pencil Sharpener,5,40,9.996
South,Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2,50,11.995
East,Office Supplies,Cardinal EasyOpen D-Ring Binders,2,50,6.995
West,Office Supplies,Advantus SlideClip Paper Clips,7,40,29.996
West,Office Supplies,Xerox 1979,4,25,6.9975
South,Office Supplies,Fellowes PB300 Plastic Comb Binding Machine,2,50,12.995
South,Technology,Plantronics Voyager Pro Legend,1,25,6.4975
South,Office Supplies,Laser & Ink Jet Business Envelopes,3,50,8.495
South,Office Supplies,Portable Personal File Box,2,50,7.995
